moneyAccountName,currencyId,currencyName,accountType,product,customerName,transactionId,transactionTypeId,transactionTypeShort,transactionTypeName,bookingTypeShort,bookingTypeName,valueDate,transactionDate,direction,amount,transactionCurrencyId,transactionCurrencyName,creditorShortText,creditorText,debtorShortText,debtorText,pointOfSale,acquirerCountryId,acquirerCountryName,cardId,creditorAccountText,creditorIBAN,creditorAddress,creditorReferenceNumber,creditorInfo
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1673055898,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,21/08/2025,21/08/2025,2,4.8,3942.0,CHF,Kartenbezug ,"Ammann Bäckerei Kond
Kartennummer **** 1010
21.08.2025 09:15
",Kartenbezug ,"Ammann Bäckerei Kond
Kartennummer **** 1010
21.08.2025 09:15
","AMMANN BACKEREI KONDITO, UNTERSTAMMHEIM",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1673057416,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,21/08/2025,21/08/2025,2,11.8,3942.0,CHF,Kartenbezug ,"Volg Laden
Kartennummer **** 1010
21.08.2025 09:21
",Kartenbezug ,"Volg Laden
Kartennummer **** 1010
21.08.2025 09:21
","VOLG LADEN, UNTERSTAMMHEIM",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672669814,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,20/08/2025,20/08/2025,2,31.0,3942.0,CHF,TWINT-Zahlung ,"SBB MOBILE, BERN
+41791234567
20.08.2025 06:16
",TWINT-Zahlung ,"SBB MOBILE, BERN
+41791234567
20.08.2025 06:16
","SBB MOBILE, BERN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672689361,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,20/08/2025,20/08/2025,2,1.0,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
20.08.2025 08:30
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
20.08.2025 08:30
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672689382,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,20/08/2025,20/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
20.08.2025 08:30
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
20.08.2025 08:30
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672769263,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,20/08/2025,20/08/2025,2,8.2,3942.0,CHF,TWINT-Zahlung ,"MIGROS MR NEUMARKT TRAITEUR, ST. GALLEN
+41791234567
20.08.2025 12:34
",TWINT-Zahlung ,"MIGROS MR NEUMARKT TRAITEUR, ST. GALLEN
+41791234567
20.08.2025 12:34
","MIGROS MR NEUMARKT TRAITEUR, ST. GALLEN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672882288,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,20/08/2025,20/08/2025,2,332.55,3942.0,CHF,Kartenbezug ,"Migros MM Stein am R
Kartennummer **** 1010
20.08.2025 18:43
",Kartenbezug ,"Migros MM Stein am R
Kartennummer **** 1010
20.08.2025 18:43
","MIGROS MM STEIN AM RHEI, STEIN AM RHEIN",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672883696,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,20/08/2025,20/08/2025,2,9.0,3942.0,CHF,Kartenbezug ,"Denner Discount 1414
Kartennummer **** 1010
20.08.2025 18:52
",Kartenbezug ,"Denner Discount 1414
Kartennummer **** 1010
20.08.2025 18:52
","DENNER DISCOUNT 1414 ST, STEIN AM RHEIN",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672865112,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,20/08/2025,20/08/2025,2,141.0,3942.0,CHF,Kartenbezug ,"HOPFENTROPFEN GMBH
Kartennummer **** 1010
20.08.2025 17:34
",Kartenbezug ,"HOPFENTROPFEN GMBH
Kartennummer **** 1010
20.08.2025 17:34
","HOPFENTROPFEN GMBH, UNTERSTAMMHEI",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672813795,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,20/08/2025,20/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
20.08.2025 14:39
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
20.08.2025 14:39
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672334856,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,19/08/2025,19/08/2025,2,31.0,3942.0,CHF,TWINT-Zahlung ,"SBB MOBILE, BERN
+41791234567
19.08.2025 06:25
",TWINT-Zahlung ,"SBB MOBILE, BERN
+41791234567
19.08.2025 06:25
","SBB MOBILE, BERN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672389615,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,19/08/2025,19/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
19.08.2025 10:28
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
19.08.2025 10:28
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672416992,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,19/08/2025,19/08/2025,2,1.95,3942.0,CHF,TWINT-Zahlung ,"MIGROS NEUMARKT, ST. GALLEN
+41791234567
19.08.2025 11:54
",TWINT-Zahlung ,"MIGROS NEUMARKT, ST. GALLEN
+41791234567
19.08.2025 11:54
","MIGROS NEUMARKT, ST. GALLEN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672417728,44,cardtrx,Kartentransaktion,widrw_oo#maestro,Bancomat-Bezug,19/08/2025,19/08/2025,2,200.0,3942.0,CHF,Bancomat-Bezug ,"Bank X Hauptsitz
Kartennummer **** 1010
19.08.2025 11:57
",Bancomat-Bezug ,"Bank X Hauptsitz
Kartennummer **** 1010
19.08.2025 11:57
",,,,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1672460948,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,19/08/2025,19/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
19.08.2025 14:38
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
19.08.2025 14:38
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1671375210,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,15/08/2025,15/08/2025,2,9.25,3942.0,CHF,Kartenbezug ,"Volg Laden
Kartennummer **** 1010
15.08.2025 12:01
",Kartenbezug ,"Volg Laden
Kartennummer **** 1010
15.08.2025 12:01
","VOLG LADEN, OBERSTAMMHEIM",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1671401892,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,15/08/2025,15/08/2025,2,1.0,2549.0,EUR,Kartenbezug ,"Parkplatz am Strandb
Kartennummer **** 1010
15.08.2025 13:18
Originalbetrag EUR 1.00
Währungskurs 1 EUR = 0.946105 CHF
Transaktionsgebühr CHF 1.50
",Kartenbezug ,"Parkplatz am Strandb
Kartennummer **** 1010
15.08.2025 13:18
Originalbetrag EUR 1.00
Währungskurs 1 EUR = 0.946105 CHF
Transaktionsgebühr CHF 1.50
","PARKPLATZ AM STRANDBAD, BUESINGEN AM",2004.0,Deutschland,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1671402761,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,15/08/2025,15/08/2025,2,9.0,3942.0,CHF,TWINT-Zahlung ,"LIDO TERRASSE & KIOSK, BUSINGEN
+41791234567
15.08.2025 13:22
",TWINT-Zahlung ,"LIDO TERRASSE & KIOSK, BUSINGEN
+41791234567
15.08.2025 13:22
","LIDO TERRASSE & KIOSK, BUSINGEN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1671482269,44,cardtrx,Kartentransaktion,twint#p2p#debit,TWINT-Belastung,15/08/2025,15/08/2025,2,110.0,3942.0,CHF,TWINT-Belastung ,"Hans Schneider
+41799999999
15.08.2025 17:58
",TWINT-Belastung ,"Hans Schneider
+41799999999
15.08.2025 17:58
",Hans Schneider,2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1671520656,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,15/08/2025,15/08/2025,2,5.0,3942.0,CHF,TWINT-Zahlung ,"PARKINGPAY-TWINT, SCHLIEREN
+41791234567
15.08.2025 21:49
",TWINT-Zahlung ,"PARKINGPAY-TWINT, SCHLIEREN
+41791234567
15.08.2025 21:49
","PARKINGPAY-TWINT, SCHLIEREN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1671521641,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,15/08/2025,15/08/2025,2,8.32,3942.0,CHF,Kartenbezug ,"Agrola Tankstelle
Kartennummer **** 1010
15.08.2025 21:59
",Kartenbezug ,"Agrola Tankstelle
Kartennummer **** 1010
15.08.2025 21:59
","AGROLA TANKSTELLE, DIESSENHOFEN",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670778016,6,pay,Zahlungsverkehr,apf_domp,Zahlungsauftrag Inland,14/08/2025,14/08/2025,2,110.85,3942.0,CHF,,,Vergütung / SWICA GESUNDHEITSORGANISATION / ,,,,,,,CH2030000003XXXXYYYYZ,"SWICA GESUNDHEITSORGANISATION
ROEMERSTRASSE 37
8400 WINTERTHUR
Schweiz",101733985533000243634700002,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670794019,6,pay,Zahlungsverkehr,apf_domp,Zahlungsauftrag Inland,14/08/2025,14/08/2025,2,1000.0,3942.0,CHF,,,Vergütung / REVOLUT BANK UAB,,,,,,,CH9409000QEXXXXYYYYZ,"REVOLUT BANK UAB
KONSTITUCIJOS AVE. 21B
08130 VILNIUS
08130 VILNIUS",,"69382175
MAX MEIER
CH
"
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670865275,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,14/08/2025,14/08/2025,2,31.0,3942.0,CHF,TWINT-Zahlung ,"SBB MOBILE, BERN
+41791234567
14.08.2025 06:27
",TWINT-Zahlung ,"SBB MOBILE, BERN
+41791234567
14.08.2025 06:27
","SBB MOBILE, BERN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670889766,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,14/08/2025,14/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
14.08.2025 08:51
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
14.08.2025 08:51
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670966665,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,14/08/2025,14/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
14.08.2025 12:47
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
14.08.2025 12:47
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1671008100,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,14/08/2025,14/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
14.08.2025 15:40
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
14.08.2025 15:40
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670244184,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,12/08/2025,12/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
12.08.2025 11:01
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
12.08.2025 11:01
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670279341,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,12/08/2025,12/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
12.08.2025 12:47
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
12.08.2025 12:47
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670272383,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,12/08/2025,12/08/2025,2,1.95,3942.0,CHF,TWINT-Zahlung ,"MIGROS NEUMARKT, ST. GALLEN
+41791234567
12.08.2025 12:23
",TWINT-Zahlung ,"MIGROS NEUMARKT, ST. GALLEN
+41791234567
12.08.2025 12:23
","MIGROS NEUMARKT, ST. GALLEN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1670311958,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,12/08/2025,12/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
12.08.2025 15:04
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
12.08.2025 15:04
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1669722675,6,pay,Zahlungsverkehr,apf_domp,Zahlungsauftrag Inland,11/08/2025,11/08/2025,2,88.5,3942.0,CHF,,,"Vergütung / EKZ, ELEKTRIZITAETSWERKE DES KANTONS ZUERICH / ",,,,,,,CH9630000001XXXXYYYYZ,"EKZ, ELEKTRIZITAETSWERKE DES KANTONS ZUERICH
DREIKOENIGSTRASSE 18
8002 ZUERICH
Schweiz",000001876814010040603587877,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1392970672,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,09/08/2025,09/08/2025,2,24.91,2549.0,EUR,Kartenbezug ,"PLODINE SUPERMARKET,
Kartennummer **** 1010
09.08.2025 18:19
Originalbetrag EUR 24.91
Währungskurs 1 EUR = 0.963154 CHF
Transaktionsgebühr CHF 1.50
",Kartenbezug ,"PLODINE SUPERMARKET,
Kartennummer **** 1010
09.08.2023 18:19
Originalbetrag EUR 24.91
Währungskurs 1 EUR = 0.963154 CHF
Transaktionsgebühr CHF 1.50
","PLODINE SUPERMARKET, 2, NIN",2197.0,Kroatien,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1391874589,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,08/08/2025,08/08/2025,2,39.1,2549.0,EUR,Kartenbezug ,"AUTOCESTA A1 MASLENI
Kartennummer **** 1010
06.08.2025 08:33
Originalbetrag EUR 39.10
Währungskurs 1 EUR = 0.964252 CHF
Transaktionsgebühr CHF 1.50
",Kartenbezug ,"AUTOCESTA A1 MASLENI
Kartennummer **** 1010
06.08.2023 08:33
Originalbetrag EUR 39.10
Währungskurs 1 EUR = 0.964252 CHF
Transaktionsgebühr CHF 1.50
","AUTOCESTA A1 MASLENICA, VRPOLJE",2197.0,Kroatien,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1669159474,30,inpay,Zahlungseingang,inpay#inpay,Vergütung,08/08/2025,08/08/2025,1,4014.0,3942.0,CHF,"Abrechnung Kontoauszug UZ Juni und Juli / Maria Steiner, Dorfstrasse 10, 9000 St. Gallen, CH",Abrechnung Kontoauszug UZ Juni und Juli,,,,,,,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1669274715,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,08/08/2025,08/08/2025,2,93.25,3942.0,CHF,Kartenbezug ,"OBI Schaffhausen
Kartennummer **** 1010
08.08.2025 18:23
",Kartenbezug ,"OBI Schaffhausen
Kartennummer **** 1010
08.08.2025 18:23
","OBI SCHAFFHAUSEN, SCHAFFHAUSEN",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1668536975,35,cord,Sammelauftrag,cord_deb,Sammelauftrag,07/08/2025,07/08/2025,2,13.95,3942.0,CHF,,,Sammelbelastung vom 07.08.2025,Sammelbelastung vom 07.08.2025,,,,,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1668680425,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,07/08/2025,07/08/2025,2,1.5,3942.0,CHF,TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
07.08.2025 09:00
",TWINT-Zahlung ,"KANTINE, ZÜRICH
+41791234567
07.08.2025 09:00
","KANTINE, ZÜRICH",2089.0,Schweiz,2533XXXX,,,,,
